time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-05T12:49:56.150Z,-8.3587,116.1605,39.15,5.4,mb,,41,1.99,1.23,us,us1000g3uy,2018-08-05T13:19:37.585Z,"0km SE of Tanjung, Indonesia",earthquake,6.7,6.4,0.055,112,reviewed,us,us
2018-08-05T12:42:30.980Z,-8.3194,116.1659,10,4.9,mb,,78,1.998,1.39,us,us1000g3ux,2018-08-05T13:17:51.527Z,"3km N of Tanahsong Daya, Indonesia",earthquake,7.7,1.9,0.115,24,reviewed,us,us
2018-08-05T12:14:33.195Z,69.2911,-147.5604,4.5,3.3,ml,,,,0.68,ak,ak20007945,2018-08-05T12:19:26.710Z,"111km SSE of Prudhoe Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-08-05T11:46:37.790Z,-8.2871,116.4515,31,6.9,mww,,35,2.282,0.98,us,us1000g3ub,2018-08-05T13:15:51.435Z,"3km SSE of Loloan, Indonesia",earthquake,6.5,1.8,0.031,100,reviewed,us,us
2018-08-05T11:40:14.757Z,59.9882,-153.318,126.1,2.8,ml,,,,0.56,ak,ak20007777,2018-08-05T11:48:49.120Z,"63km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-08-05T10:50:20.660Z,-9.4885,121.2705,119.83,4.9,mb,,44,1.276,1.12,us,us1000g3tw,2018-08-05T12:43:05.709Z,"64km S of Bengga, Indonesia",earthquake,6.9,7,0.09,39,reviewed,us,us
2018-08-05T10:42:08.850Z,33.782,-118.1751667,10.69,2.73,ml,73,71,0.02135,0.31,ci,ci38239208,2018-08-05T13:19:08.078Z,"3km SSW of Signal Hill, CA",earthquake,0.35,0.64,0.238,26,automatic,ci,ci
2018-08-05T10:37:19.780Z,51.4484,178.3783,72.65,4.5,mb,,170,0.581,1.04,us,us1000g3tq,2018-08-05T10:56:16.040Z,"56km S of Little Sitkin Island, Alaska",earthquake,12.8,10.1,0.04,184,reviewed,us,us
2018-08-05T09:51:29.640Z,-2.3085,99.4611,28.95,5,mb,,198,3.056,0.56,us,us1000g3t7,2018-08-05T10:04:42.040Z,"83km SSE of Muara Siberut, Indonesia",earthquake,9.5,7.1,0.101,31,reviewed,us,us
2018-08-05T09:40:16.240Z,-2.2072,99.3979,27.2,4.5,mb,,157,3.004,0.9,us,us1000g3t0,2018-08-05T09:58:41.040Z,"70km SSE of Muara Siberut, Indonesia",earthquake,8.2,6.5,0.132,17,reviewed,us,us
2018-08-05T09:31:27.060Z,19.3880005,-155.2424927,-1.05,3.12,ml,51,49,0.008684,0.29,hv,hv70524397,2018-08-05T09:37:05.570Z,"4km S of Volcano, Hawaii",earthquake,0.28,0.16,3.41,36,automatic,hv,hv
2018-08-05T08:56:22.430Z,-2.4375,99.3426,10,5.5,mb,,55,3.227,1.04,us,us1000g3sp,2018-08-05T11:01:05.077Z,"93km S of Muara Siberut, Indonesia",earthquake,7.2,1.8,0.062,91,reviewed,us,us
2018-08-05T08:44:17.350Z,41.4491,142.0366,58,4.7,mb,,133,0.986,0.9,us,us1000g3sl,2018-08-05T09:07:21.427Z,"70km ENE of Mutsu, Japan",earthquake,5.6,6.7,0.052,111,reviewed,us,us
2018-08-05T07:44:48.280Z,-26.1794,179.884,478.59,4.5,mb,,98,3.617,1.11,us,us1000g3s9,2018-08-05T08:21:56.040Z,"South of the Fiji Islands",earthquake,12,7.4,0.047,132,reviewed,us,us
2018-08-05T06:11:54.850Z,51.237,179.0793,35,4.5,mb,,139,0.197,0.81,us,us1000g3rq,2018-08-05T07:06:53.040Z,"87km SSW of Semisopochnoi Island, Alaska",earthquake,8.7,1.9,0.031,314,reviewed,us,us
2018-08-05T05:17:55.440Z,1.1333,97.4088,35,4.4,mb,,179,0.237,0.65,us,us1000g3rf,2018-08-05T05:59:56.040Z,"166km WSW of Sibolga, Indonesia",earthquake,6.1,1.9,0.1,29,reviewed,us,us
2018-08-05T04:57:34.500Z,-29.8338,-177.0999,20.54,4.7,mb,,123,0.93,0.39,us,us1000g3rb,2018-08-05T05:21:08.040Z,"99km SE of Raoul Island, New Zealand",earthquake,8.5,7.3,0.123,20,reviewed,us,us
2018-08-05T04:53:11.510Z,14.562,-91.3001,112.66,4.2,mb,,160,1.885,0.69,us,us1000g3r2,2018-08-05T05:22:40.356Z,"3km NNE of Chicacao, Guatemala",earthquake,6.6,9.1,0.055,93,reviewed,us,us
